,task_type,domain,criteria_name,criteria_description,rubrics,rubrics_example
140,Анализ текста (объективный анализ),Научный,Креативность,"Данный критерий оценивает способность модели подавать информацию интересно, если это требуется. 
В тексте используются креативные методы сообщения научных знаний.

ВНИМАНИЕ: если запрос пользователя не предполагает креативности, следует выбрать вариант «Неприменимо».","1: Предполагается, что ответ модели должен быть креативным, но модель выдала совсем не креативный и не увлекательный ответ:
     — Посыл автора скучен и банален, тонет в неинтересной информации.
     — Отсутствует творческий подход.
     — Автор не пытается или не способен заинтересовать аудиторию, на которую рассчитан текст. 
      
2: Предполагается, что ответ модели должен быть креативным, но модель справилась с задачей не идеально:
     — Текст в целом креативный, но иногда становится скучно.
     — Даже если текст можно назвать креативным, есть чувство, что такие методы подачи информации уже приелись.

3: Предполагается, что ответ модели должен быть креативным — и он действительно очень креативный и увлекательный:
     — Научная информация подана интересно и неизбито.
     — Используются новые и необычные методы подачи информации, чтобы привлечь внимание читателей, зрителей, слушателей.
     — Ответ модели читается на одном дыхании.","Пример на 0 баллов:
Волга впадает в Каспийское море. Лошади кушают овес и сено. Эти факты известны нам благодаря развитию науки, которая представляет собой важнейшую область человеческой деятельности. Наука играет важную роль в развитии общества и помогает понимать природные явления. Именно с помощью науки люди способны управлять своей жизнью, а начинается все с упорной учебы.

Пример на 2 балла:
Всем известно, что температура кипения воды — 100 градусов Цельсия. Но может ли она кипеть, скажем, при 10 градусах? Конечно. Чем ниже давление, тем раньше вода и кипит, и замерзает. Кипящая в вакууме вода вовсе не горячая, если она не получает дополнительную энергию от внешнего источника. И наоборот, при определенном уровне давления вода не сможет стать жидкой, а при нагреве сразу перейдет из твердого состояния в газообразное. Причина — в накопленной молекулами кинетической энергии, готовой выплеснуться, но сдерживаемой давлением атмосферы.

"
141,Стайл-трансфер,Научный,Креативность,"Данный критерий оценивает способность модели подавать информацию интересно, если это требуется. 
В тексте используются креативные методы сообщения научных знаний.

ВНИМАНИЕ: если запрос пользователя не предполагает креативности, следует выбрать вариант «Неприменимо».","1: Предполагается, что ответ модели должен быть креативным, но модель выдала совсем не креативный и не увлекательный ответ:
     — Посыл автора скучен и банален, тонет в неинтересной информации.
     — Отсутствует творческий подход.
     — Автор не пытается или не способен заинтересовать аудиторию, на которую рассчитан текст. 
      
2: Предполагается, что ответ модели должен быть креативным, но модель справилась с задачей не идеально:
     — Текст в целом креативный, но иногда становится скучно.
     — Даже если текст можно назвать креативным, есть чувство, что такие методы подачи информации уже приелись.

3: Предполагается, что ответ модели должен быть креативным — и он действительно очень креативный и увлекательный:
     — Научная информация подана интересно и неизбито.
     — Используются новые и необычные методы подачи информации, чтобы привлечь внимание читателей, зрителей, слушателей.
     — Ответ модели читается на одном дыхании.","Пример на 0 баллов:
Волга впадает в Каспийское море. Лошади кушают овес и сено. Эти факты известны нам благодаря развитию науки, которая представляет собой важнейшую область человеческой деятельности. Наука играет важную роль в развитии общества и помогает понимать природные явления. Именно с помощью науки люди способны управлять своей жизнью, а начинается все с упорной учебы.

Пример на 2 балла:
Всем известно, что температура кипения воды — 100 градусов Цельсия. Но может ли она кипеть, скажем, при 10 градусах? Конечно. Чем ниже давление, тем раньше вода и кипит, и замерзает. Кипящая в вакууме вода вовсе не горячая, если она не получает дополнительную энергию от внешнего источника. И наоборот, при определенном уровне давления вода не сможет стать жидкой, а при нагреве сразу перейдет из твердого состояния в газообразное. Причина — в накопленной молекулами кинетической энергии, готовой выплеснуться, но сдерживаемой давлением атмосферы.

"
142,Интерпретация текста (субъективная оценка),Публицистический,Креативность,"Данный критерий оценивает:
— Креативность методов убеждения / передачи информации.
— Способность модели удержать внимание аудитории.
— Оригинальность и небанальность сюжетных ходов.
— Интересный сторителлинг.

ВНИМАНИЕ: если запрос пользователя не предполагает креативности, следует выбрать вариант «Неприменимо».","0: Ответ модели изобилует идейными штампами либо предельно сухой, официальный, неинтересный.

1: Ответ модели в целом креативный, есть интересные идеи, но также могут быть неудачные, скучные части. 

2: Ответ модели образный, красочный и выразительный, в нем отсутствуют идейные штампы, зато много креативных ходов, богатая лексика, образность, творческие идеи. Читается на одном дыхании.",
143,,Научный,Лингвистическая компетентность,"Данный критерий оценивает, насколько точно модель подбирает языковые средства, характерные для научного стиля.

Для научного стиля характерно использование следующих языковых средств:

1. Обязательные или крайне желательные признаки:

— Термины.
— Слова с абстрактным значением.
— Интернационализмы.
— Употребление слов в прямых значениях, отсутствие образности.
— Редкое использование личных местоимений «я» и «ты» и глаголов в форме 1-го и 2-го лица единственного числа.
— Специальные приемы авторизации: авторское «мы», неопределенно-личные и безличные конструкции.
— Частые цитаты, ссылки.
— Редки эмоционально окрашенные предложения (в большом количестве и в особенности в тех жанрах, которые не рассчитаны на неспециалистов), всевозможные умалчивания, недоговоренность; нежелательны разнообразные виды неполных предложений.

2. Нейтральные признаки:

— Сокращения, аббревиатуры.
— Частое использование отглагольных существительных.
— Частые глаголы несовершенного вида (от них образуются формы настоящего времени, которые имеют вневременное обобщенное значение).
— Частые возвратные глаголы в страдательном значении.
— Довольно частые краткие прилагательные и причастия.
— Использование форм единственного числа имен существительных в значении множественного числа.
— Употребление вещественных и отвлеченных существительных в форме множественного числа.
— Широко представлены относительные прилагательные.
— Синтаксис строг и стилистически однороден.
— Сложные предложения (чаще сложноподчиненные) с использованием союзов, указывающих на связь явлений, на последовательность изложения (помимо союзов, для этого используются вводные конструкции, наречия, наречные выражения и другие части речи, а также сочетания слов).
— Распространены предложения с однородными членами.
— Использование в качестве компонентов текста символов, формул, графиков, схем.
— Часты в употреблении конструкции с причастными и деепричастными оборотами.

3. Нежелательные, но допустимые признаки:

— Широкое применение цепочек слов в родительном падеже (например, словосочетания имен существительных, в которых в функции определения выступает родительный падеж имени).
— Типичным для данного стиля является употребление именного сказуемого чаще, чем глагольного.
— Широкое распространение безличных предложений.","0: В ответе модели много нетипичных для научного стиля языковых средств, которые негативно влияют на такие его характеристики, как точность, недвусмысленность, отвлеченность, безэмоциональность. 

1: Наряду с типичными и уместными, ответ модели включает нетипичные для научного стиля языковые средства, ухудшающие восприятие, однако не критично влияющие на содержание.

2: В ответе модели уместно использованы типичные для научного стиля языковые средства, нетипичные отсутствуют.","Пример ответа на 0 баллов:
Одоакр отправил восточному императору Зенону предложение признать его власть. Отправил туда все священные символы императорской власти — инсигнии, кресло из слоновой кости. И отправил послание: мол, я признаю тебя императором там, а ты признай меня здесь. Причем называться императором мне не надо, я готов быть римским патрицием и начальником войска. Ну хорошо, королем Италии. Так понятнее было для войска. Римский император веками был символом злой подавляющей силы. И чтобы наш парень стал императором? Нет, это наш парень, наш вождь. Пусть будет король Италии.

Пример ответа на 2 балла:
Вопрос об обладании Одоакром титула патриция является одним из ключевых в рамках проблемы легитимности его положения в Италии после 476 г. В условиях неопределенности позиции восточноримского императора Одоакр, тем не менее, использовал модель «военного патрициата» в процессе оформления своего политико-правового статуса."
144,,Художественный,Лингвистическая компетентность,"Данный критерий оценивает, насколько точно модель подбирает языковые средства, характерные для художественной литературы в целом и конкретного жанра в частности:

1. Модель свободно владеет языком на всех уровнях, оперирует различными языковыми средствами, в том числе средствами художественной выразительности, и проявляет богатство языка на всех уровнях:
— Фонетическом (в большей степени для стихотворных текстов).
— Морфологическом.
— Лексическом.
— Синтаксическом. 

2. Модель демонстрирует свободное владение языком и оперирует разнообразными стилистическими регистрами: от минимализма до методов так называемой барочной, стилистически богатой прозы (например, Гоголь, Набоков). Использует характерные жанру/стилю писателя лексику и синтаксис. 

3. Модель способна создавать и различать средства художественной выразительности на всех уровнях языка, такие как:
— Ассонансы.
— Аллитерации.
— Эпифоры.
— Анафоры.
— Неологизмы.
— Риторические повторы.
— Градации.
— Метафоры.
— Сравнения.
— Эпитеты.
— Оксюмороны и т. д.

Лингвистическая компетентность тесно связана с запросом. Минимализм, например, как стиль предполагает не богатую лексику, а как раз наоборот — использование скупого набора средств, но это не влияет на оригинальность и художественность высказывания.

4. Лингвистическая компетентность оценивает разнообразие речевых портретов (речи) героев.

5. Также лингвистическая компетентность оценивает соответствие языковым особенностям того или иного писателя (лексика и синтаксис).","0: Модель не проявляет свободного владения разными языковыми регистрами; лексика повторяется.

1: Язык в целом приемлемый, но все равно довольно бедный, примитивный, с обилием клише, что не предусмотрено жанром.

2: Текст содержит адекватную жанру и теме лексику; язык богатый, разнообразный, клише встречаются только в предусмотренных жанром случаях (например, поздравления); модель знает и умеет использовать средства художественной выразительности.","Пользователь просит написать рассказ и задает локацию, героев. Модель пишет адекватный текст, в котором присутствуют все элементы рассказа, написанные адекватной художественной задаче лексикой. Язык работает на содержание. Идеальная картина: представим, что мы живем в параллельной вселенной, где не написан рассказ «Чистый понедельник». Пользователь запрашивает грустный рассказ о любви — и получает «Чистый понедельник». 

Пользователь запрашивает диалог — модель выдает диалог, в котором герои разговаривают по-разному. Без лингвистической компетентности диалог будет бесцветным, а реплики — похожими друг на друга."
145,,Публицистический,Лингвистическая компетентность,"Данный критерий оценивает, насколько верно использованы типичные для публицистики языковые средства:

1. Лексические:
— Газетизмы (политический плюрализм, номенклатура, коррупция).
— Общественно-политические и иные термины, а также аббревиатуры (консенсус, экстремизм, дефолт; ООН, ЕС, КПРФ).
— Профессиональная лексика (интервью, репортаж, корреспондент).
— Заимствованные слова и интернационализмы (брифинг, консолидация, мониторинг, спикер).
— Разнообразные речевые штампы (работник бюджетной сферы, (кто-то) выступил с предложением).
— Эмоционально окрашенная и оценочная лексика.
— Слова и выражения в переносном значении (атмосфера — в значении «окружающие условия, обстановка», белые воротнички — наемные работники, занимающиеся умственным трудом).
— Синонимия слов и фразеологизмов.
— Иногда для сближения с читателем или слушателем — разговорная лексика.

2. Морфологические:
— Вводные слова и конструкции с различными значениями (во-первых, во-вторых; по данным источника; очевидно, вероятно).
— Пассивные конструкции (школа строится, меры принимаются).
— Глаголы 3-го лица множественного числа в обобщенно-личном значении (сообщают, передают, подтверждают).
— Производные предлоги и союзы (в целях, по мере, вследствие; ввиду того что, несмотря на то что).
— Глагольно-именные обороты (оказать поддержку, найти применение, вести наблюдение).
— Числительные — в виде чисел (в конкурсе поучаствовали 150 человек).
Широко используется настоящее время: 
— Для создания у читателя или зрителя эффекта присутствия — например, флаг поднимается, гимн звучит. 
— Настоящее время в значении прошедшего — напр., вратарь отбивает мяч.
— Настоящее время в значении будущего — напр., (завтра) открывается.

3. Синтаксические: 
— Антитеза (противопоставления) (старые проблемы — новые решения).
— Синтаксический параллелизм.
— Непрямой порядок слов (инверсия).
— Очень часто простые распространенные предложения, часто с осложняющими элементами.
— Часто вопросительные и побудительные предложения, а также восклицательные предложения.","0: Ответ модели не включает в себя типичные для публицистики языковые средства или чересчур навязывает их, делая текст штампованным, непонятным.

1: Ответ модели включает в себя типичные для публицистики синтаксические, морфологические и лексические языковые средства, но это делает его ограниченным, унифицированным, блеклым.

2: Ответ модели включает в себя типичные для публицистики синтаксические, морфологические и лексические языковые средства, но это не ограничивает, а помогает донести мысль яснее; речевые клише служат для ускорения восприятия информации читателем.",
146,,Разговорный,Лингвистическая компетентность,"Данный критерий оценивает только то, насколько уместно модель использует языковые средства.

— Лексика модели должна полностью соответствовать роли. Экспертные ситуации она должна насыщать профессиональной терминологией, бытовые — выдерживать в разговорном стиле (например, добавлять междометия, паузы и прочее). 
— Лексическая сложность ответа должна соответствовать как персонажу, так и адресату (когда учитель объясняет школьнику, пятилетний мальчик — бабушке, ветпсихолог — хорьку и т. д.). 
— Модель должна быть вариативной, говорить разнообразно, избегать повторов в словах и конструкциях, тавтологий. 
— Ответ модели должен быть максимально грамотным, но оставаться в рамках грамотности персонажа (гопник не должен изъясняться так же чисто, как академик, а первоклассник неизбежно будет писать с ошибками, но важно не перегибать).","0: Лексика модели не соответствует роли, сложность искусственно завышена или занижена, в экспертной ситуации несколько раз неуместно используется разговорная речь, в бытовой ситуации избыточно используются профессиональные термины, стиль неоднородный и/или не соответствует роли. Много повторов. 

1: Лексика по большей части соответствует роли, профессиональная и разговорная речь используется в основном уместно, уровень сложности выдерживается верный, но есть 1–2 нарушения.

2: Лексика, сложность и грамотность полностью соответствуют роли и ситуации.",
147,,,Монологичность,"Данный критерий оценивает монологичность — важную характеристику официального текста. Монологичность — это односторонний характер изложения информации. 

— Официально-деловой текст должен представлять собой последовательное, логично структурированное и непрерывное изложение мысли без обращения к собеседнику или взаимодействия с аудиторией.
— Монологичный текст обычно включает в себя четкое выражение авторской позиции, отсутствие вопросов или диалоговых элементов и сосредоточенность на передаче информации. 

ВНИМАНИЕ: в этом критерии не оцениваются вводные формулировки генерации модели, в которых модель соглашается / не соглашается выполнить задание, дает пояснения к тексту.","0: Официальный текст не соответствует критерию монологичности: он содержит элементы диалога, вопросы, обращения к читателю или другие характеристики, которые делают его интерактивным.

1: Официальный текст в целом соответствует критерию монологичности, но есть незначительные помарки, которые, однако, нельзя назвать грубыми ошибками.

2: Официальный текст полностью соответствует критерию монологичности.
","ПРИМЕР 1
— Хорошо: 
Руководствуясь статьями 110, 167–170, 176, 180, 197–201 Арбитражного процессуального кодекса Российской Федерации, Суд по интеллектуальным правам РЕШИЛ...
— Плохо: 
Я, председательствующий судья Суда по интеллектуальным правам, руководствуясь статьями 110, 167-170, 176, 180, 197–201 Арбитражного процессуального кодекса Российской Федерации, РЕШИЛ...

ПРИМЕР 2
— Хорошо: 
Уважаемый Иван Иванович! Информируем Вас о получении счета-фактуры. Оплата будет произведена в течение 10 рабочих дней.
— Плохо: 
Уважаемый Иван Иванович! Я получила счет-фактуру. Произведу оплату в течение 10 рабочих дней.

ПРИМЕР 3
— Хорошо: 
Договаривающиеся стороны обязуются соблюдать принципы взаимного уважения суверенитета, территориальной целостности и невмешательства во внутренние дела друг друга. Стороны также признают важность поддержания мира и безопасности в регионе и необходимость предотвращения конфликтов и урегулирования споров мирными средствами.
— Плохо: 
Мы обязаны соблюдать принципы взаимного уважения суверенитета, территориальной целостности и невмешательства во внутренние дела друг друга. Мы также признаем важность поддержания мира и безопасности в регионе и необходимость предотвращения конфликтов и урегулирования споров мирными средствами."
148,,,"Наличие акцентов, характерных для литературных направлений / писателей","Данный критерий проверяет, что стилизация соответствует писательскому взгляду на сюжет и детали, состояние героев: работа с эмоцией, образностью, психологизмом; есть характерные особенности, исторические реалии и т. п. 

ВНИМАНИЕ: языковые особенности стилизации оцениваются критерием «Лексическая компетентность».","0: В тексте нет выраженных акцентов или они противоречат стилю автора.

1: В тексте есть ожидаемые акценты, но они выражены непоследовательно.

2: В тексте последовательно выражаются ожидаемые акценты, и они отражают мировидение автора.","Лавкрафт, Кинг — акцент на саспенсе, нагнетающем повествовании; Толстой — реализм, психологизм. Гоголь — абсурд, гротеск."
149,,,Научная достоверность и фактологическая точность,Модель не перевирает фактическую информацию и точно доносит известные факты.,"0: Ответ не содержит ни одного достоверного факта, вся фактическая информация, содержащаяся в ответе, неверная.

1: Ответ в большинстве своем содержит верную фактическую информацию, однако встречаются небольшие фактологические неточности.

2: Вся фактическая информация в ответе передана верно.",
150,,,Недвусмысленность формулировок,"Данный критерий оценивает точность выражений в официальном тексте, которая исключает интерпретации.

Формулировки должны быть однозначными, чтобы текст был полностью понятен, не оставлял места для разночтений и не допускал различных трактовок.","0: Текст содержит неоднозначные или двусмысленные формулировки:
      — В тексте присутствуют фразы или термины, которые могут быть поняты по-разному, что создает 
риск неоднозначного толкования.
      — Формулировки нечеткие, расплывчатые или слишком общие, что затрудняет понимание документа.
      — Используются многозначные выражения, которые требуют дополнительных пояснений.
      — Текст содержит противоречивые или некорректные формулировки, что приводит к возможным ошибкам в интерпретации.

1: Текст частично содержит двусмысленные формулировки:
      — В целом текст ясен, но в некоторых местах встречаются выражения, которые допускают разные толкования и могут вызвать разночтения.
      — Некоторые термины или фразы недостаточно конкретны и требуют уточнений или дополнительного контекста для однозначного понимания.
      — В тексте встречаются неоднозначные формулировки, хотя основное содержание остается понятным.
      — Текст нуждается в частичной доработке для устранения отдельных двусмысленных моментов.

2: Текст не содержит двусмысленных формулировок:
      — Документ полностью исключает двусмысленность, что позволяет избежать ошибок или неверных трактовок.
      — Формулировки однозначные и точные, не оставляющие места для сомнений или разночтений.","ПРИМЕР 1
— Хорошо: 
Завершение проекта планируется к 31 декабря 2025 года. Все работы должны быть выполнены в полном объеме, и результаты должны быть переданы заказчику не позднее указанной даты.
— Плохо: 
Завершение проекта планируется ориентировочно к концу следующего года. Работы будут завершены в разумные сроки, после чего результаты будут переданы заказчику.

ПРИМЕР 2
— Хорошо: 
Каждая из Сторон имеет право в любое время денонсировать настоящее Соглашение путем письменного уведомления депозитария. Соглашение прекращает действие для этой Стороны через 2 месяца после получения депозитарием такого уведомления.
— Плохо: 
Каждая из Сторон может в любое время денонсировать настоящее Соглашение путем письменного уведомления депозитария. Соглашение прекращает действие для этой Стороны через пару месяцев после получения депозитарием такого уведомления."
151,,Разговорный,Непротиворечие фактам реального мира,"Данный критерий оценивает актуальность и точность фактической информации.

Модель должна давать достоверный ответ, если запрос не предусматривает иное. 

В экспертной ситуации ответ модели должен опираться на достоверные источники.

ВНИМАНИЕ: если в запросе указано, что персонаж, например, намеренно перевирает факты или живет в параллельной вселенной, ставим «Неприменимо»","0: Ответ модели необоснованно содержит только вымышленные/неверные факты.

1: Ответ модели содержит как достоверные, так и недостоверные (в т. ч. вымышленные) факты, и это не обусловлено запросом. 

2: Ответ модели содержит только достоверную информацию. Если модель играет роль существующего персонажа (кот Матроскин, Джеймс Бонд и т. д.), все факты целиком соответствуют сеттингу.","Например, персонаж говорит, что его любимая книга — «Война и мир» Пушкина (ведь мы знаем, что это роман Толстого) (при этом в запросе не указано, что это безграмотный персонаж). 
Если в запросе указано, что персонаж безграмотный, то ставим в оценке «Неприменимо»."
152,,Научный,Непротиворечие фактам реального мира,"Данный критерий оценивает актуальность и точность фактической информации:
— Для создания ответа модель должна использовать актуальные первоисточники и надежную информационную базу, а также методы, применяемые в заявленной области науки. В ответе не должно быть искаженной фактической информации (даты, имена, числа, события и прочее), «фантазий», лженаучных теорий. Если в ответе перевраны основополагающие факты либо в качестве основных излагаются псевдонаучные теории (изобрели вечный двигатель, доказали телегонию, бесполезность вакцин / гороскопы и прочее), это серьезное нарушение данного критерия. 
— Методы должны соответствовать поставленной задаче и быть адекватными изучаемому объекту (в широком смысле это подразумевает проверяемость и воспроизводимость; критический анализ; соответствие научной парадигме, учет этических норм при работе с людьми и животными).

ВНИМАНИЕ: правильность терминов оценивается в другом критерии, если только ошибка в терминах не потянула за собой фактическую ошибку.
Разница между терминами и фактической информацией:
— Термины — это слова или словосочетания, имеющие точное и однозначное определение в конкретной области. Они обозначают конкретные понятия в науке, технике, искусстве, праве и других областях. Их значение фиксировано и не допускает вольной трактовки внутри данной области.
— Фактическая информация — это утверждения о фактах, событиях, явлениях, свойствах объектов. Она описывает реальный мир и может быть проверена на истинность.

Термины и фактическая информация тесно связаны. Фактическая информация часто использует термины для точного описания фактов. Например, в утверждении «Фотосинтез происходит в хлоропластах растений» слово «фотосинтез» — термин, а все утверждение в целом — фактическая информация. Без четких терминов было бы сложно формулировать и передавать фактическую информацию, особенно в научных и технических областях.","0: Много фактических ошибок и/или нарушение методологии:
     — В ответе модель не использует научные концепции, гипотезы, методы и теории заявленной области науки, и/или ответ содержит лженаучные теории.
     — Ответ модели содержит много фактических ошибок.

1: В целом ответ модели фактологически верен, за исключением помарок:
    — С фактологической точки зрения — незначительные ошибки или недочеты (например, мелкие опечатки в именах или датах), которые не критичны, но могут вызвать вопросы, а также устаревшие данные, умеренно влияющие на качество текста.
    — В ответе модели наряду с общепринятыми используются нехарактерные для данной науки приемы или методы.

2: В ответе модели используются научные концепции, гипотезы, методы и теории заявленной области науки, а вся информация в ответе верна и актуальна.","Пример ответа на 0 баллов (ответ далек от филологии):
В X–XII веках Лондон располагался на месте Константинополя, в то время как «рекой Темзой» назывался пролив Босфор. Ее название пишется как Thames. События происходят на востоке, где, в частности, арабы читают текст не слева направо, как в Европе, а справа налево. Слово «пролив» звучит так: sound. При обратном прочтении получается DNS (без огласовок), что воспринималось как TMS — Темза. 

Пример ответа на 2 балла:
В рамках статьи затрагивается социальная группа людей с инвалидностью как объект социальной инклюзии и предмет социологического мониторинга. Рассмотрены подходы к возникновению и пониманию инвалидности и динамика их развития. Отмечена важность проведения мониторинга соблюдения прав людей с инвалидностью с опорой на положения Конвенции о правах инвалидов."
